Superintendência,Processo,Tipo de requerimento,Fase Atual,CPF/CNPJ do titular,Titular,Municipio(s),Substância(s),Tipo(s) de Uso,Situação,doc_limpo
Gerência Regional / MG,009135/1967,Requerimento de Autorização de Pesquisa,Concessão de Lavra,16.482.121/0001-57,SIGMA MINERACAO S.A.,ITINGA,"FELDSPATO, PETALITA","Demais substâncias, Demais substâncias",Sim,16482121000157
Gerência Regional / MG,005804/1953,Requerimento de Autorização de Pesquisa,Concessão de Lavra,16.482.121/0001-57,SIGMA MINERACAO S.A.,ITINGA,CASSITERITA,Demais substâncias,Sim,16482121000157
Gerência Regional / MG,004134/1953,Requerimento de Autorização de Pesquisa,Concessão de Lavra,16.482.121/0001-57,SIGMA MINERACAO S.A.,ITINGA,"AMBLIGONITA, CASSITERITA, COLUMBITA, FELDSPATO, PETALITA, POLUCITA, QUARTZO","Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias",Sim,16482121000157
Gerência Regional / MG,002998/1953,Requerimento de Autorização de Pesquisa,Concessão de Lavra,16.482.121/0001-57,SIGMA MINERACAO S.A.,ITINGA,CASSITERITA,Demais substâncias,Sim,16482121000157
Gerência Regional / MG,834418/2012,Requerimento de Autorização de Pesquisa,Concessão de Lavra,04.180.718/0001-68,WESLEY ARRUDA SPOSITO EIRELI,CORONEL MURTA,GRANITO,Revestimento,Sim,04180718000168
Gerência Regional / MG,832033/2009,Requerimento de Autorização de Pesquisa,Concessão de Lavra,11.430.465/0001-07,"Araujo Mineração, Terraplanagem e Construção Ltda",ARAÇUAÍ,"AREIA, AREIA","Construção civil, Industrial",Sim,11430465000107
Gerência Regional / MG,833857/2011,Requerimento de Autorização de Pesquisa,Concessão de Lavra,12.294.384/0001-81,R&M MINERACAO LTDA,TEÓFILO OTONI,GRANITO,Revestimento,Sim,12294384000181
Gerência Regional / MG,830760/1987,Requerimento de Autorização de Pesquisa,Concessão de Lavra,07.959.121/0001-04,Lf Mineração e Beneficiamento Ltda,CORONEL MURTA,"FELDSPATO, QUARTZO, QUARTZO, TURMALINA, TURMALINA","Demais substâncias, Demais substâncias, Demais substâncias, Gema, Industrial",Sim,07959121000104
Gerência Regional / MG,830195/2003,Requerimento de Autorização de Pesquisa,Concessão de Lavra,15.783.338/0001-34,Sal Mineração Ltda,RUBELITA,GRANITO,Industrial,Sim,15783338000134
Gerência Regional / MG,824695/1971,Requerimento de Autorização de Pesquisa,Concessão de Lavra,16.482.121/0001-57,SIGMA MINERACAO S.A.,ARAÇUAÍ,"FELDSPATO, PETALITA, QUARTZO","Demais substâncias, Demais substâncias, Demais substâncias",Sim,16482121000157
Gerência Regional / MG,830380/2017,Requerimento de Autorização de Pesquisa,Concessão de Lavra,26.148.405/0001-65,FHAE GRANITOS DO BRASIL LTDA,SALINAS,QUARTZITO,Revestimento,Sim,26148405000165
Gerência Regional / MG,833356/2007,Requerimento de Autorização de Pesquisa,Concessão de Lavra,17.789.890/0001-65,ATLAS LITIO BRASIL LTDA.,ARAÇUAÍ,MINÉRIO DE LÍTIO,Industrial,Sim,17789890000165
Gerência Regional / MG,831424/2013,Requerimento de Disponibilidade para pesquisa,Concessão de Lavra,19.296.734/0001-98,CARAIBAS GRANITO MINERACAO EXPORTACAO E IMPORTACAO LTDA,RUBELITA,"AREIA, FOSFATO, GRANITO, QUARTZO, QUARTZO, XISTO","Construção civil, Fertilizantes, Industrial, Revestimento, Revestimento, Revestimento",Sim,19296734000198
Gerência Regional / MG,831219/2017,Requerimento de Autorização de Pesquisa,Concessão de Lavra,43.878.350/0001-68,BELO LITHIUM MINERACAO LTDA,SALINAS,GRANITO,Revestimento,Sim,43878350000168
Gerência Regional / MG,830691/2017,Requerimento de Autorização de Pesquisa,Concessão de Lavra,43.878.350/0001-68,BELO LITHIUM MINERACAO LTDA,SALINAS,GRANITO,Revestimento,Sim,43878350000168
Gerência Regional / MG,834323/2007,Requerimento de Autorização de Pesquisa,Concessão de Lavra,48.219.870/0001-82,ITA-ROCHAS ORNAMENTAIS LTDA,RUBELITA,"FELDSPATO, GRANITO, MINÉRIO DE BERÍLIO","Industrial, Industrial, Revestimento",Sim,48219870000182
Gerência Regional / MG,832752/2009,Requerimento de Autorização de Pesquisa,Concessão de Lavra,40.312.265/0001-40,LUIS FERNANDO PEREIRA CHAVIS,VIRGEM DA LAPA,QUARTZO,Industrial,Sim,40312265000140
Gerência Regional / MG,831799/2005,Requerimento de Autorização de Pesquisa,Concessão de Lavra,43.878.350/0001-68,BELO LITHIUM MINERACAO LTDA,SALINAS,GRANITO,Industrial,Sim,43878350000168
